#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,RB Leipzig,RBL,4,2,2,0,8:3,5,8
2,Bayern München,FCB,3,2,1,0,5:2,3,7
3,1. FSV Mainz 05,M05,4,2,1,1,6:4,2,7
4,1. FC Köln,KOE,3,1,2,0,4:2,2,5
5,1899 Hoffenheim,TSG,3,1,2,0,7:6,1,5
6,Hertha BSC,BSC,4,1,2,1,6:7,-1,5
7,VfL Wolfsburg,WOB,3,1,1,1,3:2,1,4
8,FC Augsburg,FCA,3,1,1,1,3:3,0,4
9,Borussia Dortmund,BVB,3,1,0,2,5:4,1,3
10,Eintracht Frankfurt,SGE,3,1,0,2,2:2,0,3
11,Bayer Leverkusen,B04,4,1,0,3,6:8,-2,3
12,FC Schalke 04,S04,4,0,1,3,2:6,-4,1
13,FC Ingolstadt 04,FCI,4,0,1,3,3:8,-5,1
14,Hamburger SV,HSV,4,0,1,3,1:6,-5,1
15,Bor. Mönchengladbach,BMG,3,0,1,2,2:8,-6,1
16,Werder Bremen,SVW,3,0,1,2,3:12,-9,1
17,SC Freiburg,SCF,4,0,0,4,3:10,-7,0
18,SV Darmstadt 98,D98,4,0,0,4,1:11,-10,0
