#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,16,11,3,2,29:9,20,36
2,RB Leipzig,RBL,15,7,4,4,25:20,5,25
3,1899 Hoffenheim,TSG,15,4,8,3,23:18,5,20
4,Borussia Dortmund,BVB,16,5,5,6,30:27,3,20
5,Werder Bremen,SVW,15,5,5,5,27:32,-5,20
6,Bor. Mönchengladbach,BMG,16,5,3,8,18:30,-12,18
7,Bayer Leverkusen,B04,15,5,1,9,19:24,-5,16
8,VfL Wolfsburg,WOB,15,4,4,7,16:25,-9,16
9,SC Freiburg,SCF,16,4,4,8,18:32,-14,16
10,1. FC Köln,KOE,16,3,6,7,20:23,-3,15
11,FC Augsburg,FCA,15,4,3,8,12:25,-13,15
12,Eintracht Frankfurt,SGE,16,4,2,10,10:21,-11,14
13,FC Ingolstadt 04,FCI,16,4,2,10,14:26,-12,14
14,FC Schalke 04,S04,15,3,4,8,15:22,-7,13
15,1. FSV Mainz 05,M05,15,3,2,10,14:27,-13,11
16,Hertha BSC,BSC,16,2,3,11,13:28,-15,9
17,Hamburger SV,HSV,16,2,3,11,11:35,-24,9
18,SV Darmstadt 98,D98,15,1,0,14,8:35,-27,3
