#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,6,6,0,0,24:3,21,18
2,VfL Wolfsburg,WOB,6,5,1,0,14:5,9,16
3,Borussia Dortmund,BVB,5,4,1,0,17:4,13,13
4,FC Schalke 04,S04,6,3,2,1,8:7,1,11
5,Hertha BSC,BSC,5,3,1,1,9:6,3,10
6,Bayer Leverkusen,B04,5,3,1,1,8:6,2,10
7,Bor. Mönchengladbach,BMG,5,3,0,2,10:8,2,9
8,1. FC Köln,KOE,6,2,3,1,5:4,1,9
9,Eintracht Frankfurt,SGE,5,1,3,1,9:9,0,6
10,1. FSV Mainz 05,M05,6,2,0,4,7:10,-3,6
11,VfB Stuttgart,VFB,6,2,0,4,6:11,-5,6
12,Hamburger SV,HSV,5,1,2,2,4:5,-1,5
13,SV Darmstadt 98,D98,6,1,2,3,6:10,-4,5
14,FC Augsburg,FCA,6,1,1,4,6:10,-4,4
15,FC Ingolstadt 04,FCI,5,1,1,3,2:6,-4,4
16,Hannover 96,H96,5,1,0,4,5:10,-5,3
17,Werder Bremen,SVW,6,1,0,5,3:12,-9,3
18,1899 Hoffenheim,TSG,5,0,2,3,5:9,-4,2
