#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Hertha BSC,BSC,12,9,2,1,23:10,13,29
2,VfL Wolfsburg,WOB,10,9,1,0,27:7,20,28
3,Hamburger SV,HSV,11,9,1,1,18:9,9,28
4,1899 Hoffenheim,TSG,11,8,2,1,24:10,14,26
5,Hannover 96,H96,12,6,5,1,22:14,8,23
6,Werder Bremen,SVW,12,6,4,2,29:16,13,22
7,VfB Stuttgart,VFB,11,6,3,2,21:12,9,21
8,FC Schalke 04,S04,10,6,3,1,14:6,8,21
9,Bayern München,FCB,10,6,2,2,28:19,9,20
10,Borussia Dortmund,BVB,12,3,9,0,18:10,8,18
11,Bayer Leverkusen,B04,11,5,1,5,21:16,5,16
12,VfL Bochum,BOC,12,4,4,4,20:19,1,16
13,1. FC Köln,KOE,11,3,4,4,9:13,-4,13
14,Karlsruher SC,KSC,11,4,1,6,10:16,-6,13
15,Eintracht Frankfurt,SGE,11,3,3,5,17:16,1,12
16,Arminia Bielefeld,DSC,10,2,5,3,12:14,-2,11
17,Bor. Mönchengladbach,BMG,11,3,2,6,15:21,-6,11
18,Energie Cottbus,FCE,10,3,1,6,10:17,-7,10
