#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Hamburger SV,HSV,10,9,1,0,17:6,11,28
2,1899 Hoffenheim,TSG,11,8,2,1,24:10,14,26
3,Hertha BSC,BSC,11,8,2,1,21:9,12,26
4,VfL Wolfsburg,WOB,9,8,1,0,25:6,19,25
5,Werder Bremen,SVW,11,6,3,2,29:16,13,21
6,Bayern München,FCB,9,6,2,1,27:17,10,20
7,VfB Stuttgart,VFB,10,6,2,2,18:9,9,20
8,FC Schalke 04,S04,9,6,2,1,13:5,8,20
9,Hannover 96,H96,11,5,5,1,21:14,7,20
10,Borussia Dortmund,BVB,11,3,8,0,18:10,8,17
11,Bayer Leverkusen,B04,10,5,1,4,20:14,6,16
12,VfL Bochum,BOC,11,3,4,4,17:17,0,13
13,Karlsruher SC,KSC,9,4,1,4,10:13,-3,13
14,Eintracht Frankfurt,SGE,10,3,3,4,16:14,2,12
15,1. FC Köln,KOE,10,3,3,4,8:12,-4,12
16,Arminia Bielefeld,DSC,9,2,4,3,11:13,-2,10
17,Bor. Mönchengladbach,BMG,10,2,2,6,12:19,-7,8
18,Energie Cottbus,FCE,9,2,1,6,8:16,-8,7
