#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,1899 Hoffenheim,TSG,8,7,1,0,20:5,15,22
2,VfL Wolfsburg,WOB,7,6,1,0,21:5,16,19
3,Hamburger SV,HSV,7,6,1,0,13:6,7,19
4,Werder Bremen,SVW,8,5,2,1,25:12,13,17
5,Hertha BSC,BSC,8,5,2,1,13:7,6,17
6,VfB Stuttgart,VFB,8,5,1,2,14:7,7,16
7,Bayer Leverkusen,B04,8,5,0,3,17:9,8,15
8,Hannover 96,H96,8,4,3,1,16:10,6,15
9,Bayern München,FCB,7,4,2,1,22:15,7,14
10,FC Schalke 04,S04,7,4,2,1,11:5,6,14
11,Borussia Dortmund,BVB,8,2,6,0,14:7,7,12
12,1. FC Köln,KOE,7,3,1,3,6:9,-3,10
13,Eintracht Frankfurt,SGE,7,2,2,3,10:10,0,8
14,Arminia Bielefeld,DSC,7,2,2,3,10:12,-2,8
15,VfL Bochum,BOC,8,1,4,3,12:14,-2,7
16,Bor. Mönchengladbach,BMG,8,2,1,5,10:15,-5,7
17,Karlsruher SC,KSC,7,2,1,4,6:11,-5,7
18,Energie Cottbus,FCE,7,1,1,5,5:12,-7,4
