#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,10,9,1,0,34:12,22,28
2,Bor. Mönchengladbach,BMG,9,9,0,0,25:3,22,27
3,RB Leipzig,RBL,10,7,2,1,24:7,17,23
4,Bayern München,FCB,9,5,3,1,19:11,8,18
5,Eintracht Frankfurt,SGE,9,5,1,3,22:12,10,16
6,Hertha BSC,BSC,9,4,4,1,16:13,3,16
7,1. FSV Mainz 05,M05,10,4,4,2,12:10,2,16
8,1899 Hoffenheim,TSG,10,3,4,3,15:12,3,13
9,SC Freiburg,SCF,10,3,4,3,15:15,0,13
10,Werder Bremen,SVW,10,3,4,3,17:18,-1,13
11,Bayer Leverkusen,B04,9,4,1,4,13:15,-2,13
12,FC Schalke 04,S04,9,4,0,5,13:14,-1,12
13,VfL Wolfsburg,WOB,10,3,3,4,13:17,-4,12
14,Fortuna Düsseldorf,F95,10,4,0,6,12:17,-5,12
15,VfB Stuttgart,VFB,9,3,1,5,8:18,-10,10
16,1. FC Nürnberg,FCN,10,2,3,5,10:14,-4,9
17,FC Augsburg,FCA,9,1,4,4,14:16,-2,7
18,Hannover 96,H96,9,2,1,6,7:15,-8,7
