#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,3,3,0,0,14:2,12,9
2,Bor. Mönchengladbach,BMG,3,3,0,0,7:2,5,9
2,Hertha BSC,BSC,3,3,0,0,7:2,5,9
4,1. FC Nürnberg,FCN,3,2,1,0,6:1,5,7
5,Bayern München,FCB,3,2,1,0,7:3,4,7
6,RB Leipzig,RBL,3,2,1,0,6:3,3,7
7,1. FSV Mainz 05,M05,3,2,1,0,3:1,2,7
8,Werder Bremen,SVW,3,1,2,0,5:3,2,5
9,VfL Wolfsburg,WOB,4,1,2,1,7:8,-1,5
10,FC Augsburg,FCA,3,1,1,1,7:5,2,4
11,Eintracht Frankfurt,SGE,3,1,1,1,6:4,2,4
12,1899 Hoffenheim,TSG,3,1,1,1,5:4,1,4
13,SC Freiburg,SCF,3,1,1,1,4:5,-1,4
14,VfB Stuttgart,VFB,3,1,1,1,2:4,-2,4
15,Fortuna Düsseldorf,F95,3,1,0,2,4:5,-1,3
16,Bayer Leverkusen,B04,3,1,0,2,4:7,-3,3
17,FC Schalke 04,S04,3,1,0,2,1:4,-3,3
18,Hannover 96,H96,2,0,1,1,1:3,-2,1
