#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayer Leverkusen,B04,5,3,2,0,14:5,9,11
2,SC Freiburg,SCF,5,3,2,0,7:3,4,11
3,Bayern München,FCB,4,3,1,0,13:4,9,10
4,Borussia Dortmund,BVB,4,2,0,2,8:7,1,6
5,VfL Wolfsburg,WOB,4,2,0,2,5:6,-1,6
6,Hertha BSC,BSC,5,2,0,3,6:16,-10,6
7,1. FC Union Berlin,FCU,4,1,2,1,7:8,-1,5
8,Eintracht Frankfurt,SGE,5,1,2,2,6:10,-4,5
9,1899 Hoffenheim,TSG,5,1,1,3,7:10,-3,4
10,1. FSV Mainz 05,M05,4,1,0,3,3:6,-3,3
11,VfB Stuttgart,VFB,4,0,3,1,2:6,-4,3
12,Bor. Mönchengladbach,BMG,5,1,0,4,4:9,-5,3
13,VfL Bochum,BOC,5,1,0,4,2:13,-11,3
14,RB Leipzig,RBL,4,0,2,2,2:4,-2,2
15,Arminia Bielefeld,DSC,4,0,2,2,3:6,-3,2
16,1. FC Köln,KOE,4,0,2,2,4:10,-6,2
17,FC Augsburg,FCA,5,0,2,3,2:9,-7,2
18,SpVgg Greuther Fürth,SGF,5,0,0,5,4:17,-13,0
