#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,13,10,2,1,39:9,30,32
2,Bayer Leverkusen,B04,13,9,2,2,26:13,13,29
3,Hannover 96,H96,13,8,3,2,28:15,13,27
4,Borussia Dortmund,BVB,13,8,2,3,32:14,18,26
5,FC Schalke 04,S04,13,8,2,3,25:17,8,26
6,Eintracht Frankfurt,SGE,13,7,3,3,26:19,7,24
7,1. FSV Mainz 05,M05,13,7,3,3,18:12,6,24
8,Bor. Mönchengladbach,BMG,13,6,5,2,22:15,7,23
9,Hamburger SV,HSV,13,7,1,5,15:14,1,22
10,1. FC Nürnberg,FCN,13,5,6,2,19:13,6,21
11,Fortuna Düsseldorf,F95,13,5,5,3,19:18,1,20
12,SC Freiburg,SCF,13,5,4,4,17:15,2,19
13,Werder Bremen,SVW,13,5,3,5,20:22,-2,18
14,1899 Hoffenheim,TSG,14,3,4,7,15:25,-10,13
15,VfB Stuttgart,VFB,12,3,3,6,13:21,-8,12
16,FC Augsburg,FCA,13,2,5,6,11:19,-8,11
17,VfL Wolfsburg,WOB,13,2,5,6,11:22,-11,11
18,SpVgg Greuther Fürth,SGF,13,0,4,9,4:22,-18,4
