#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,10,7,2,1,26:6,20,23
2,Bayer Leverkusen,B04,9,7,2,0,19:6,13,23
3,Eintracht Frankfurt,SGE,9,6,2,1,23:15,8,20
4,FC Schalke 04,S04,10,6,2,2,20:13,7,20
5,1. FSV Mainz 05,M05,9,6,1,2,14:6,8,19
6,Hannover 96,H96,9,5,2,2,20:13,7,17
7,Hamburger SV,HSV,8,5,0,3,10:8,2,15
8,Borussia Dortmund,BVB,8,4,2,2,17:8,9,14
9,Bor. Mönchengladbach,BMG,8,4,2,2,14:9,5,14
10,SC Freiburg,SCF,9,4,2,3,14:10,4,14
11,Werder Bremen,SVW,9,4,2,3,14:16,-2,14
12,1. FC Nürnberg,FCN,9,3,4,2,11:9,2,13
13,Fortuna Düsseldorf,F95,10,3,4,3,14:16,-2,13
14,VfB Stuttgart,VFB,8,3,2,3,11:13,-2,11
15,VfL Wolfsburg,WOB,9,2,3,4,8:14,-6,9
16,1899 Hoffenheim,TSG,10,2,3,5,13:22,-9,9
17,FC Augsburg,FCA,9,1,3,5,7:15,-8,6
18,SpVgg Greuther Fürth,SGF,9,0,3,6,4:15,-11,3
