#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Werder Bremen,SVW,22,16,4,2,54:21,33,52
2,Bayern München,FCB,22,13,6,3,47:22,25,45
3,VfB Stuttgart,VFB,22,11,7,4,27:10,17,40
4,VfL Bochum,BOC,22,10,7,5,36:24,12,37
5,Bayer Leverkusen,B04,22,10,6,6,39:28,11,36
6,Borussia Dortmund,BVB,22,10,4,8,36:30,6,34
7,FC Schalke 04,S04,22,8,9,5,26:23,3,33
8,Hamburger SV,HSV,22,8,6,8,31:35,-4,30
9,VfL Wolfsburg,WOB,22,9,1,12,40:42,-2,28
10,SC Freiburg,SCF,22,8,4,10,31:46,-15,28
11,FC Hansa Rostock,ROS,22,7,6,9,32:32,0,27
12,TSV 1860 München,M60,22,7,5,10,24:33,-9,26
13,Hannover 96,H96,22,6,6,10,38:50,-12,24
14,Eintracht Frankfurt,SGE,22,6,5,11,25:33,-8,23
15,Hertha BSC,BSC,22,5,7,10,23:42,-19,22
16,Bor. Mönchengladbach,BMG,22,5,6,11,23:33,-10,21
17,1. FC Kaiserslautern,FCK,22,7,3,12,23:35,-12,21
18,1. FC Köln,KOE,22,4,4,14,17:33,-16,16
