#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,8,5,2,1,14:6,8,17
2,Hannover 96,H96,8,4,2,2,11:7,4,14
3,Karlsruher SC,KSC,9,4,2,3,9:12,-3,14
4,Bayer Leverkusen,B04,8,4,1,3,12:7,5,13
5,Hamburger SV,HSV,8,4,1,3,10:7,3,13
6,Werder Bremen,SVW,8,3,3,2,13:12,1,12
7,FC Schalke 04,S04,8,2,5,1,12:10,2,11
8,VfL Wolfsburg,WOB,8,2,2,4,15:18,-3,8
9,MSV Duisburg,MSV,8,2,1,5,7:12,-5,7
10,Borussia Dortmund,BVB,8,2,1,5,10:17,-7,7
11,Eintracht Frankfurt,SGE,8,0,6,2,9:14,-5,6
12,VfL Bochum,BOC,8,2,0,6,7:12,-5,6
13,VfB Stuttgart,VFB,7,2,0,5,9:15,-6,6
14,1. FC Nürnberg,FCN,8,1,2,5,8:16,-8,5
15,Energie Cottbus,FCE,8,0,4,4,3:15,-12,4
16,Arminia Bielefeld,DSC,8,1,1,6,5:28,-23,4
17,Hertha BSC,BSC,8,1,0,7,7:14,-7,3
18,FC Hansa Rostock,ROS,8,1,0,7,5:16,-11,3
