#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Werder Bremen,SVW,2,1,1,0,3:2,1,4
2,Bayern München,FCB,1,1,0,0,4:0,4,3
3,Arminia Bielefeld,DSC,1,1,0,0,3:1,2,3
3,VfL Wolfsburg,WOB,1,1,0,0,3:1,2,3
5,MSV Duisburg,MSV,2,1,0,1,3:2,1,3
6,1. FC Nürnberg,FCN,1,1,0,0,2:1,1,3
6,VfL Bochum,BOC,1,1,0,0,2:1,1,3
8,Hamburger SV,HSV,2,1,0,1,2:2,0,3
9,Karlsruher SC,KSC,2,1,0,1,2:3,-1,3
10,Hannover 96,H96,2,1,0,1,2:4,-2,3
11,FC Schalke 04,S04,2,0,2,0,3:3,0,2
12,Eintracht Frankfurt,SGE,1,0,1,0,2:2,0,1
13,Energie Cottbus,FCE,2,0,1,1,0:3,-3,1
14,Bayer Leverkusen,B04,1,0,0,1,0:1,-1,0
15,VfB Stuttgart,VFB,1,0,0,1,1:3,-2,0
16,Borussia Dortmund,BVB,1,0,0,1,1:4,-3,0
17,Hertha BSC,BSC,2,0,0,2,0:3,-3,0
18,FC Hansa Rostock,ROS,2,0,0,2,0:4,-4,0
