#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,6,5,0,1,23:1,22,15
2,Bor. Mönchengladbach,BMG,6,4,2,0,11:5,6,14
3,Hannover 96,H96,6,4,2,0,11:7,4,14
4,Borussia Dortmund,BVB,5,4,0,1,15:3,12,12
5,FC Schalke 04,S04,6,4,0,2,14:8,6,12
6,Werder Bremen,SVW,5,4,0,1,11:6,5,12
7,VfB Stuttgart,VFB,6,3,1,2,10:4,6,10
8,1. FC Köln,KOE,6,3,1,2,9:6,3,10
9,1899 Hoffenheim,TSG,5,3,1,1,6:3,3,10
10,VfL Wolfsburg,WOB,5,3,0,2,7:6,1,9
11,Hertha BSC,BSC,5,2,2,1,6:3,3,8
12,Bayer Leverkusen,B04,5,2,1,2,5:6,-1,7
13,1. FC Kaiserslautern,FCK,5,2,1,2,5:7,-2,7
14,1. FC Nürnberg,FCN,5,1,3,1,8:8,0,6
15,SC Freiburg,SCF,6,2,0,4,7:7,0,6
16,Hamburger SV,HSV,6,0,3,3,8:11,-3,3
17,FC Augsburg,FCA,5,0,3,2,4:9,-5,3
18,1. FSV Mainz 05,M05,6,1,0,5,6:14,-8,3
