#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayer Leverkusen,B04,10,4,6,0,19:9,10,18
2,FC Schalke 04,S04,9,5,3,1,12:7,5,18
3,Bayern München,FCB,9,5,2,2,20:9,11,17
4,Werder Bremen,SVW,11,4,4,3,22:13,9,16
5,1. FC Köln,KOE,10,4,4,2,9:7,2,16
6,Borussia Dortmund,BVB,10,4,4,2,15:16,-1,16
7,Hamburger SV,HSV,9,3,5,1,19:12,7,14
8,VfL Wolfsburg,WOB,10,3,5,2,14:15,-1,14
9,VfL Bochum,BOC,11,4,2,5,10:16,-6,14
10,1899 Hoffenheim,TSG,11,4,1,6,12:14,-2,13
11,SC Freiburg,SCF,11,4,1,6,15:21,-6,13
12,Eintracht Frankfurt,SGE,9,3,3,3,11:13,-2,12
13,VfB Stuttgart,VFB,9,2,3,4,7:12,-5,9
14,Bor. Mönchengladbach,BMG,10,2,2,6,12:20,-8,8
15,1. FC Nürnberg,FCN,11,2,2,7,8:22,-14,8
16,Hannover 96,H96,9,2,1,6,9:15,-6,7
17,1. FSV Mainz 05,M05,11,1,3,7,9:22,-13,6
18,Hertha BSC,BSC,10,1,1,8,9:23,-14,4
