#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,8,7,1,0,20:1,19,22
2,Borussia Dortmund,BVB,10,5,4,1,23:12,11,19
3,VfB Stuttgart,VFB,10,4,2,4,10:17,-7,14
4,SC Freiburg,SCF,9,3,4,2,10:8,2,13
5,Bayer Leverkusen,B04,9,4,1,4,17:17,0,13
6,VfL Wolfsburg,WOB,9,4,1,4,11:13,-2,13
7,Bor. Mönchengladbach,BMG,10,2,6,2,11:17,-6,12
8,Eintracht Frankfurt,SGE,9,3,1,5,11:15,-4,10
9,Hamburger SV,HSV,10,2,4,4,9:14,-5,10
10,Fortuna Düsseldorf,F95,8,2,2,4,8:9,-1,8
11,Werder Bremen,SVW,9,2,2,5,14:18,-4,8
12,FC Schalke 04,S04,8,2,2,4,12:16,-4,8
13,1. FSV Mainz 05,M05,9,2,2,5,10:15,-5,8
14,1. FC Nürnberg,FCN,9,2,2,5,7:14,-7,8
15,Hannover 96,H96,9,2,0,7,16:23,-7,6
16,FC Augsburg,FCA,9,1,3,5,8:16,-8,6
17,SpVgg Greuther Fürth,SGF,9,1,3,5,7:15,-8,6
18,1899 Hoffenheim,TSG,8,1,1,6,10:19,-9,4
