#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,11,8,3,0,33:12,21,27
2,Bor. Mönchengladbach,BMG,11,7,2,2,26:13,13,23
3,RB Leipzig,RBL,11,6,4,1,22:9,13,22
4,Eintracht Frankfurt,SGE,11,6,2,3,26:13,13,20
5,Bayern München,FCB,11,6,2,3,20:14,6,20
6,1899 Hoffenheim,TSG,11,6,1,4,24:15,9,19
7,Werder Bremen,SVW,11,5,2,4,19:19,0,17
8,Hertha BSC,BSC,11,4,4,3,16:17,-1,16
9,1. FSV Mainz 05,M05,11,4,3,4,10:12,-2,15
10,FC Augsburg,FCA,11,3,4,4,19:18,1,13
11,SC Freiburg,SCF,11,3,4,4,15:19,-4,13
12,VfL Wolfsburg,WOB,11,3,3,5,15:17,-2,12
13,Bayer Leverkusen,B04,11,3,2,6,16:24,-8,11
14,FC Schalke 04,S04,11,3,1,7,8:15,-7,10
15,1. FC Nürnberg,FCN,11,2,4,5,11:24,-13,10
16,Hannover 96,H96,11,2,3,6,14:22,-8,9
17,Fortuna Düsseldorf,F95,11,2,2,7,10:25,-15,8
18,VfB Stuttgart,VFB,11,2,2,7,8:24,-16,8
