#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,12,9,3,0,30:10,20,30
2,VfB Stuttgart,VFB,11,7,3,1,23:9,14,24
3,Werder Bremen,SVW,12,7,2,3,25:17,8,23
4,Hamburger SV,HSV,10,7,2,1,14:8,6,23
5,Borussia Dortmund,BVB,10,6,4,0,18:7,11,22
6,VfL Wolfsburg,WOB,11,7,1,3,16:9,7,22
7,Hertha BSC,BSC,11,5,4,2,18:12,6,19
8,Bor. Mönchengladbach,BMG,10,5,3,2,15:6,9,18
9,Arminia Bielefeld,DSC,10,5,3,2,14:7,7,18
10,FC Schalke 04,S04,11,4,6,1,16:10,6,18
11,VfL Bochum,BOC,11,5,2,4,18:15,3,17
12,1. FC Kaiserslautern,FCK,12,5,2,5,15:12,3,17
13,TSV 1860 München,M60,10,4,2,4,14:16,-2,14
14,1. FC Nürnberg,FCN,11,4,1,6,14:17,-3,13
15,FC Hansa Rostock,ROS,12,2,5,5,12:16,-4,11
16,Hannover 96,H96,12,2,4,6,18:25,-7,10
17,Energie Cottbus,FCE,11,3,1,7,11:20,-9,10
18,Bayer Leverkusen,B04,11,2,2,7,12:22,-10,8
