#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,17,13,3,1,37:12,25,42
2,Hamburger SV,HSV,17,13,3,1,30:11,19,42
3,Borussia Dortmund,BVB,17,10,6,1,31:13,18,36
4,Bor. Mönchengladbach,BMG,17,10,5,2,31:11,20,35
5,VfL Wolfsburg,WOB,17,11,2,4,26:15,11,35
6,Hertha BSC,BSC,17,10,4,3,35:19,16,34
7,VfB Stuttgart,VFB,17,9,5,3,30:14,16,32
8,Werder Bremen,SVW,17,10,2,5,34:23,11,32
9,1. FC Kaiserslautern,FCK,17,9,3,5,23:12,11,30
10,Arminia Bielefeld,DSC,17,7,5,5,23:16,7,26
10,FC Schalke 04,S04,17,6,8,3,23:16,7,26
12,FC Hansa Rostock,ROS,17,6,5,6,20:18,2,23
13,VfL Bochum,BOC,17,6,5,6,26:25,1,23
14,TSV 1860 München,M60,17,6,5,6,22:22,0,23
15,Bayer Leverkusen,B04,17,6,3,8,27:28,-1,21
16,Hannover 96,H96,17,4,6,7,28:33,-5,18
17,1. FC Nürnberg,FCN,17,4,4,9,16:24,-8,16
18,Energie Cottbus,FCE,17,4,3,10,17:30,-13,15
