#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,15,11,3,1,34:11,23,36
2,Hamburger SV,HSV,15,11,3,1,24:10,14,36
3,Hertha BSC,BSC,15,9,4,2,30:13,17,31
4,Borussia Dortmund,BVB,14,9,4,1,24:9,15,31
5,VfL Wolfsburg,WOB,15,10,1,4,22:13,9,31
6,VfB Stuttgart,VFB,15,8,5,2,28:13,15,29
7,Bor. Mönchengladbach,BMG,15,8,5,2,24:10,14,29
8,1. FC Kaiserslautern,FCK,16,9,2,5,23:12,11,29
9,Arminia Bielefeld,DSC,15,7,5,3,22:12,10,26
10,Werder Bremen,SVW,15,8,2,5,28:20,8,26
11,FC Schalke 04,S04,15,5,8,2,22:14,8,23
12,VfL Bochum,BOC,15,6,3,6,24:23,1,21
13,TSV 1860 München,M60,15,5,5,5,17:18,-1,20
14,FC Hansa Rostock,ROS,15,4,5,6,14:17,-3,17
15,Hannover 96,H96,15,4,5,6,25:29,-4,17
16,1. FC Nürnberg,FCN,15,4,4,7,15:21,-6,16
17,Bayer Leverkusen,B04,15,4,3,8,21:27,-6,15
18,Energie Cottbus,FCE,15,3,2,10,15:29,-14,11
