#{"t_start": 1706727624.0760794, "env_id": "CurvyRaceEnv-v0"}
r,l,t
122.519421,100,52.567169
128.682925,100,52.724805
121.999615,100,52.879437
120.355626,100,53.045581
120.108858,100,53.225735
118.32854,100,53.700643
94.20224,100,53.877295
26.155878,100,54.060953
55.160646,100,54.229096
60.267661,100,54.410754
53.411048,100,54.642452
65.404903,100,54.857637
100.918044,100,55.10585
90.159406,100,55.29201
-66.603541,100,55.476169
90.212996,100,55.698359
90.858649,100,55.884521
-59.350105,100,56.050162
43.773471,100,56.228815
77.761905,100,56.377443
88.565247,100,56.573612
-138.328053,100,56.765276
69.183166,100,56.940427
37.759392,100,57.117079
28.591178,100,57.297735
88.448959,100,57.466378
55.172733,100,57.64303
49.132176,100,57.832194
48.159097,100,58.006843
76.604062,100,58.182494
116.444091,100,58.661405
-160.288367,100,58.835555
-132.857341,100,58.997695
-153.983183,100,59.179351
-129.32725,100,59.347995
80.103985,100,59.523146
-160.598974,100,59.776364
-160.832424,100,59.982541
-161.53545,100,60.141177
-179.086283,100,60.289304
-155.703645,100,60.439434
-147.712554,100,60.601072
-163.07781,100,60.753703
-159.963173,100,60.911339
-129.856779,100,61.063469
-154.826666,100,61.225608
-162.393384,100,61.377238
-138.864727,100,61.532373
-162.438754,100,61.696513
79.662785,100,61.872164
-158.947299,100,62.040309
50.97539,100,62.218962
-158.592873,100,62.385605
-161.755793,100,62.587279
-125.863892,100,63.070194
-129.282955,100,63.241841
-122.503844,100,63.419494
72.590536,100,63.585136
-125.271922,100,63.764791
-105.743164,100,63.940942
-109.329707,100,64.111088
-104.059353,100,64.29975
52.24667,100,64.488413
-115.244283,100,64.668067
-36.941693,100,64.84672
-126.495003,100,65.050896
-125.415356,100,65.236055
-125.603248,100,65.418711
-109.771881,100,65.616381
61.861577,100,65.815053
-126.361642,100,66.007218
-134.048408,100,66.204888
-131.799337,100,66.391547
-122.989771,100,66.59222
-107.615938,100,66.782383
69.321118,100,66.995066
68.661453,100,67.196239
-123.835115,100,67.373391
-90.605349,100,67.901345
-123.004281,100,68.107522
