#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayer Leverkusen,B04,5,4,1,0,14:6,8,13
2,1. FSV Mainz 05,M05,5,4,1,0,10:4,6,13
3,VfB Stuttgart,VFB,5,4,0,1,12:4,8,12
4,VfL Wolfsburg,WOB,5,4,0,1,10:3,7,12
5,FC Schalke 04,S04,5,4,0,1,10:8,2,12
6,Hannover 96,H96,5,3,1,1,9:4,5,10
7,Bayern München,FCB,5,3,1,1,7:3,4,10
8,Werder Bremen,SVW,5,3,0,2,10:5,5,9
9,Hamburger SV,HSV,5,3,0,2,10:8,2,9
10,Bor. Mönchengladbach,BMG,5,2,1,2,9:8,1,7
11,Hertha BSC,BSC,5,1,3,1,6:5,1,6
12,SC Freiburg,SCF,5,1,3,1,5:4,1,6
13,1. FC Nürnberg,FCN,5,1,2,2,5:5,0,5
14,VfL Bochum,BOC,5,1,2,2,8:9,-1,5
15,Arminia Bielefeld,DSC,5,1,2,2,3:5,-2,5
16,1. FC Kaiserslautern,FCK,5,1,1,3,5:9,-4,4
17,Borussia Dortmund,BVB,5,0,3,2,6:9,-3,3
18,FC Hansa Rostock,ROS,5,0,0,5,4:14,-10,0
