#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,VfB Stuttgart,VFB,4,4,0,0,11:2,9,12
2,VfL Wolfsburg,WOB,5,4,0,1,10:3,7,12
3,FC Schalke 04,S04,5,4,0,1,10:8,2,12
4,Bayer Leverkusen,B04,4,3,1,0,11:4,7,10
5,1. FSV Mainz 05,M05,4,3,1,0,7:3,4,10
6,Werder Bremen,SVW,5,3,0,2,10:5,5,9
7,Hannover 96,H96,4,2,1,1,6:3,3,7
8,Bayern München,FCB,4,2,1,1,5:3,2,7
9,Bor. Mönchengladbach,BMG,5,2,1,2,9:8,1,7
10,Hertha BSC,BSC,4,1,3,0,6:4,2,6
11,SC Freiburg,SCF,5,1,3,1,5:4,1,6
12,Hamburger SV,HSV,4,2,0,2,6:8,-2,6
13,1. FC Nürnberg,FCN,4,1,2,1,5:3,2,5
14,Arminia Bielefeld,DSC,5,1,2,2,3:5,-2,5
15,1. FC Kaiserslautern,FCK,5,1,1,3,5:9,-4,4
16,Borussia Dortmund,BVB,5,0,3,2,6:9,-3,3
17,VfL Bochum,BOC,4,0,2,2,5:9,-4,2
18,FC Hansa Rostock,ROS,5,0,0,5,4:14,-10,0
