#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,10,7,1,2,17:8,9,22
2,Eintracht Frankfurt,SGE,10,6,3,1,14:8,6,21
3,Borussia Dortmund,BVB,10,4,4,2,17:11,6,16
4,Bayer Leverkusen,B04,10,4,3,3,21:16,5,15
5,FC Schalke 04,S04,10,4,3,3,15:14,1,15
6,FC Augsburg,FCA,10,3,3,4,13:14,-1,12
7,Hertha BSC,BSC,10,2,5,3,11:12,-1,11
8,VfL Wolfsburg,WOB,10,2,5,3,8:9,-1,11
9,Bor. Mönchengladbach,BMG,10,3,2,5,15:21,-6,11
10,RB Leipzig,RBL,10,3,2,5,11:17,-6,11
11,1899 Hoffenheim,TSG,10,2,3,5,15:21,-6,9
12,Hannover 96,H96,10,2,3,5,10:18,-8,9
13,Werder Bremen,SVW,10,1,4,5,7:13,-6,7
14,SC Freiburg,SCF,10,1,4,5,12:28,-16,7
15,Hamburger SV,HSV,10,1,2,7,8:18,-10,5
16,1. FC Köln,KOE,10,1,2,7,6:17,-11,5
17,1. FSV Mainz 05,M05,10,0,4,6,9:20,-11,4
18,VfB Stuttgart,VFB,10,0,1,9,6:19,-13,1
