#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,4,3,1,0,8:1,7,10
2,Eintracht Frankfurt,SGE,5,3,1,1,5:3,2,10
3,RB Leipzig,RBL,5,3,0,2,7:6,1,9
4,Bayern München,FCB,4,2,1,1,7:4,3,7
5,FC Schalke 04,S04,4,2,0,2,4:4,0,6
6,VfL Wolfsburg,WOB,4,1,2,1,5:5,0,5
7,FC Augsburg,FCA,4,1,2,1,4:4,0,5
7,Hannover 96,H96,4,1,2,1,4:4,0,5
9,Bor. Mönchengladbach,BMG,4,1,2,1,7:10,-3,5
10,1899 Hoffenheim,TSG,3,1,1,1,7:7,0,4
11,Werder Bremen,SVW,4,0,3,1,2:3,-1,3
12,Hamburger SV,HSV,4,1,0,3,5:9,-4,3
13,Hertha BSC,BSC,3,0,1,2,1:4,-3,1
14,Bayer Leverkusen,B04,4,0,1,3,4:9,-5,1
15,1. FSV Mainz 05,M05,3,0,1,2,1:6,-5,1
16,1. FC Köln,KOE,5,0,1,4,1:11,-10,1
17,SC Freiburg,SCF,4,0,1,3,1:13,-12,1
18,VfB Stuttgart,VFB,4,0,0,4,2:9,-7,0
