#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,4,3,1,0,8:1,7,10
2,Bayern München,FCB,4,2,1,1,7:4,3,7
3,Eintracht Frankfurt,SGE,4,2,1,1,3:2,1,7
4,RB Leipzig,RBL,4,2,0,2,4:4,0,6
5,Hannover 96,H96,4,1,2,1,4:4,0,5
6,1899 Hoffenheim,TSG,3,1,1,1,7:7,0,4
7,VfL Wolfsburg,WOB,3,1,1,1,3:3,0,4
8,FC Augsburg,FCA,3,1,1,1,2:2,0,4
9,Werder Bremen,SVW,4,0,3,1,2:3,-1,3
10,FC Schalke 04,S04,3,1,0,2,2:4,-2,3
11,Hamburger SV,HSV,3,1,0,2,3:6,-3,3
12,Bor. Mönchengladbach,BMG,3,0,2,1,5:10,-5,2
13,Hertha BSC,BSC,3,0,1,2,1:4,-3,1
14,Bayer Leverkusen,B04,4,0,1,3,4:9,-5,1
15,1. FSV Mainz 05,M05,3,0,1,2,1:6,-5,1
16,SC Freiburg,SCF,3,0,1,2,1:8,-7,1
17,1. FC Köln,KOE,4,0,1,3,0:9,-9,1
18,VfB Stuttgart,VFB,4,0,0,4,2:9,-7,0
