#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayer Leverkusen,B04,10,8,2,0,29:6,23,26
2,Bayern München,FCB,10,8,1,1,34:6,28,25
3,VfB Stuttgart,VFB,10,8,1,1,31:9,22,25
4,RB Leipzig,RBL,10,6,2,2,26:10,16,20
5,Borussia Dortmund,BVB,10,6,2,2,19:15,4,20
6,Eintracht Frankfurt,SGE,9,5,3,1,16:8,8,18
7,SC Freiburg,SCF,9,5,3,1,16:11,5,18
8,1. FC Heidenheim 1846,HDH,9,5,2,2,18:15,3,17
8,Werder Bremen,SVW,10,5,2,3,18:15,3,17
10,VfL Bochum,BOC,9,3,5,1,14:10,4,14
11,VfL Wolfsburg,WOB,9,4,2,3,13:10,3,14
12,Bor. Mönchengladbach,BMG,10,4,2,4,17:15,2,14
13,FC Augsburg,FCA,10,3,4,3,18:18,0,13
14,1. FC Union Berlin,FCU,9,4,1,4,11:14,-3,13
15,1899 Hoffenheim,TSG,9,2,3,4,16:18,-2,9
16,1. FC Köln,KOE,9,1,3,5,7:15,-8,6
17,SV Darmstadt 98,D98,10,1,3,6,12:21,-9,6
18,1. FSV Mainz 05,M05,8,1,2,5,6:13,-7,5
