#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,17,14,2,1,55:17,38,44
2,RB Leipzig,RBL,17,13,2,2,38:18,20,41
3,1. FC Union Berlin,FCU,17,11,6,0,30:11,19,39
4,Bayern München,FCB,17,11,5,1,53:17,36,38
5,SC Freiburg,SCF,17,10,4,3,28:13,15,34
6,Bor. Mönchengladbach,BMG,17,10,3,4,33:18,15,33
7,Eintracht Frankfurt,SGE,17,9,5,3,35:18,17,32
8,Bayer Leverkusen,B04,17,8,3,6,35:23,12,27
9,VfL Bochum,BOC,17,8,2,7,28:32,-4,26
10,VfL Wolfsburg,WOB,17,6,7,4,34:25,9,25
11,1. FSV Mainz 05,M05,17,6,6,5,31:25,6,24
12,1. FC Köln,KOE,17,6,5,6,28:20,8,23
13,1899 Hoffenheim,TSG,17,7,2,8,28:29,-1,23
14,FC Augsburg,FCA,17,6,4,7,16:24,-8,22
15,VfB Stuttgart,VFB,17,5,6,6,23:22,1,21
16,Hertha BSC,BSC,17,5,6,6,24:27,-3,21
17,FC Schalke 04,S04,17,5,5,7,23:36,-13,20
18,Werder Bremen,SVW,17,5,2,10,26:28,-2,17
