#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,1899 Hoffenheim,TSG,3,3,0,0,8:3,5,9
2,RB Leipzig,RBL,3,2,1,0,7:2,5,7
3,1. FC Union Berlin,FCU,3,2,1,0,6:3,3,7
4,Bor. Mönchengladbach,BMG,3,2,0,1,4:2,2,6
5,Borussia Dortmund,BVB,3,2,0,1,4:3,1,6
6,Bayern München,FCB,3,1,2,0,5:3,2,5
7,1. FC Köln,KOE,3,1,1,1,3:2,1,4
8,SC Freiburg,SCF,3,1,1,1,2:3,-1,4
9,Eintracht Frankfurt,SGE,4,1,1,2,6:8,-2,4
10,FC Schalke 04,S04,3,1,1,1,6:9,-3,4
11,Hertha BSC,BSC,3,0,2,1,3:4,-1,2
12,VfB Stuttgart,VFB,3,0,2,1,2:3,-1,2
13,VfL Wolfsburg,WOB,3,0,2,1,4:6,-2,2
14,Werder Bremen,SVW,3,0,1,2,5:7,-2,1
15,1. FSV Mainz 05,M05,2,0,1,1,0:3,-3,1
16,Bayer Leverkusen,B04,3,0,0,3,3:8,-5,0
17,FC Augsburg,FCA,3,0,0,3,1:8,-7,0
18,VfL Bochum,BOC,3,0,0,3,1:11,-10,0
