#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,15,13,1,1,48:13,35,40
2,Bayern München,FCB,15,10,5,0,46:14,32,35
3,RB Leipzig,RBL,15,11,2,2,32:15,17,35
4,1. FC Union Berlin,FCU,15,9,6,0,25:9,16,33
5,SC Freiburg,SCF,16,9,4,3,26:13,13,31
6,Bor. Mönchengladbach,BMG,16,9,3,4,31:18,13,30
7,Eintracht Frankfurt,SGE,15,7,5,3,30:17,13,26
8,Bayer Leverkusen,B04,16,8,2,6,33:21,12,26
9,1. FSV Mainz 05,M05,16,6,6,4,30:21,9,24
10,VfL Wolfsburg,WOB,15,5,7,3,31:22,9,22
11,FC Augsburg,FCA,16,6,4,6,16:21,-5,22
12,1. FC Köln,KOE,15,5,5,5,22:16,6,20
13,1899 Hoffenheim,TSG,16,6,2,8,24:27,-3,20
14,Hertha BSC,BSC,16,5,5,6,23:26,-3,20
15,VfL Bochum,BOC,15,6,2,7,22:30,-8,20
16,VfB Stuttgart,VFB,15,5,4,6,21:20,1,19
17,FC Schalke 04,S04,16,5,4,7,21:34,-13,19
18,Werder Bremen,SVW,16,5,1,10,25:27,-2,16
