#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Hamburger SV,HSV,14,9,3,2,22:10,12,30
2,Bayern München,FCB,14,8,5,1,22:12,10,29
3,Werder Bremen,SVW,14,7,3,4,21:14,7,24
4,FC Schalke 04,S04,14,6,5,3,14:13,1,23
5,VfB Stuttgart,VFB,14,4,8,2,13:11,2,20
6,Bayer Leverkusen,B04,13,4,3,6,23:22,1,15
7,Hertha BSC,BSC,14,3,6,5,17:22,-5,15
8,Hannover 96,H96,14,3,6,5,14:20,-6,15
9,Borussia Dortmund,BVB,14,2,7,5,17:20,-3,13
10,1. FC Nürnberg,FCN,14,3,4,7,16:27,-11,13
11,Eintracht Frankfurt,SGE,14,3,3,8,15:27,-12,12
12,Arminia Bielefeld,DSC,14,2,5,7,11:23,-12,11
13,1. FC Kaiserslautern,FCK,14,3,2,9,15:31,-16,11
14,1. FC Köln,KOE,15,2,4,9,24:35,-11,10
15,VfL Wolfsburg,WOB,14,2,3,9,15:34,-19,9
16,1. FSV Mainz 05,M05,14,2,2,10,12:24,-12,8
17,Bor. Mönchengladbach,BMG,13,1,5,7,10:23,-13,8
18,MSV Duisburg,MSV,15,1,3,11,14:37,-23,6
