#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,12,7,4,1,19:11,8,25
2,Hamburger SV,HSV,11,6,3,2,17:9,8,21
3,Werder Bremen,SVW,11,6,2,3,18:10,8,20
4,FC Schalke 04,S04,12,5,5,2,12:9,3,20
5,VfB Stuttgart,VFB,10,3,6,1,9:7,2,15
6,Hannover 96,H96,11,3,5,3,13:13,0,14
7,Eintracht Frankfurt,SGE,11,3,2,6,12:19,-7,11
8,Hertha BSC,BSC,11,2,5,4,11:18,-7,11
9,Bayer Leverkusen,B04,10,2,3,5,18:21,-3,9
10,Borussia Dortmund,BVB,10,1,6,3,12:15,-3,9
11,1. FC Nürnberg,FCN,11,2,3,6,12:22,-10,9
12,Bor. Mönchengladbach,BMG,10,1,5,4,10:15,-5,8
13,1. FC Kaiserslautern,FCK,10,2,2,6,11:21,-10,8
14,Arminia Bielefeld,DSC,11,1,5,5,10:20,-10,8
15,VfL Wolfsburg,WOB,12,2,1,9,12:31,-19,7
16,1. FC Köln,KOE,12,1,3,8,18:30,-12,6
17,MSV Duisburg,MSV,12,1,2,9,11:28,-17,5
18,1. FSV Mainz 05,M05,11,1,1,9,9:19,-10,4
