#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,12,7,4,1,19:11,8,25
2,Hamburger SV,HSV,12,7,3,2,19:10,9,24
3,FC Schalke 04,S04,13,6,5,2,14:10,4,23
4,Werder Bremen,SVW,12,6,3,3,19:11,8,21
5,VfB Stuttgart,VFB,12,4,7,1,12:8,4,19
6,Hannover 96,H96,12,3,5,4,14:15,-1,14
7,Bayer Leverkusen,B04,11,3,3,5,21:21,0,12
8,1. FC Kaiserslautern,FCK,11,3,2,6,13:21,-8,11
9,Hertha BSC,BSC,12,2,5,5,12:20,-8,11
10,Eintracht Frankfurt,SGE,12,3,2,7,14:24,-10,11
11,Borussia Dortmund,BVB,11,1,6,4,12:16,-4,9
12,1. FC Köln,KOE,13,2,3,8,22:32,-10,9
13,1. FC Nürnberg,FCN,12,2,3,7,12:24,-12,9
14,Bor. Mönchengladbach,BMG,11,1,5,5,10:17,-7,8
15,Arminia Bielefeld,DSC,12,1,5,6,10:22,-12,8
16,VfL Wolfsburg,WOB,13,2,2,9,13:32,-19,8
17,1. FSV Mainz 05,M05,12,1,2,9,10:20,-10,5
18,MSV Duisburg,MSV,13,1,2,10,11:31,-20,5
