#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Hertha BSC,BSC,2,2,0,0,8:0,8,6
2,Eintracht Frankfurt,SGE,2,2,0,0,7:0,7,6
3,Bayern München,FCB,2,2,0,0,7:2,5,6
4,FC Schalke 04,S04,2,2,0,0,5:1,4,6
5,Bayer Leverkusen,B04,2,2,0,0,3:0,3,6
6,SC Freiburg,SCF,2,1,1,0,4:0,4,4
7,Hamburger SV,HSV,2,1,1,0,4:3,1,4
8,VfL Wolfsburg,WOB,1,1,0,0,4:0,4,3
9,1. FC Köln,KOE,1,1,0,0,4:1,3,3
9,VfB Stuttgart,VFB,1,1,0,0,4:1,3,3
11,Werder Bremen,SVW,1,1,0,0,3:1,2,3
12,TSV 1860 München,M60,1,1,0,0,2:1,1,3
13,Borussia Dortmund,BVB,2,1,0,1,3:3,0,3
14,1. FC Kaiserslautern,FCK,2,1,0,1,1:1,0,3
15,SpVgg Unterhaching,UNT,1,0,1,0,1:1,0,1
16,Energie Cottbus,FCE,1,0,0,1,1:4,-3,0
17,VfL Bochum,BOC,1,0,0,1,0:3,-3,0
18,FC Hansa Rostock,ROS,1,0,0,1,0:4,-4,0
