#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Hertha BSC,BSC,3,3,0,0,10:0,10,9
2,Eintracht Frankfurt,SGE,3,3,0,0,8:0,8,9
3,Bayern München,FCB,3,3,0,0,10:3,7,9
4,SC Freiburg,SCF,3,2,1,0,8:1,7,7
5,VfL Wolfsburg,WOB,3,2,1,0,10:5,5,7
6,VfB Stuttgart,VFB,3,2,1,0,7:3,4,7
7,FC Schalke 04,S04,3,2,1,0,6:2,4,7
8,TSV 1860 München,M60,3,2,1,0,6:3,3,7
9,1. FC Kaiserslautern,FCK,3,2,0,1,4:2,2,6
9,Bayer Leverkusen,B04,3,2,0,1,4:2,2,6
11,SpVgg Unterhaching,UNT,3,1,2,0,6:3,3,5
12,1. FC Köln,KOE,3,1,1,1,6:4,2,4
13,Werder Bremen,SVW,3,1,1,1,5:4,1,4
14,Hamburger SV,HSV,3,1,1,1,6:6,0,4
15,FC Hansa Rostock,ROS,3,1,1,1,1:4,-3,4
16,Energie Cottbus,FCE,3,1,0,2,4:6,-2,3
17,Borussia Dortmund,BVB,3,1,0,2,3:7,-4,3
18,VfL Bochum,BOC,3,1,0,2,2:8,-6,3
