#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,13,8,4,1,41:12,29,28
2,SC Freiburg,SCF,13,8,3,2,20:13,7,27
3,1. FC Union Berlin,FCU,13,8,2,3,21:14,7,26
4,Borussia Dortmund,BVB,13,8,1,4,23:15,8,25
5,Eintracht Frankfurt,SGE,13,7,2,4,27:21,6,23
6,RB Leipzig,RBL,13,6,4,3,25:19,6,22
7,Werder Bremen,SVW,13,6,3,4,23:19,4,21
8,Bor. Mönchengladbach,BMG,13,5,4,4,23:20,3,19
9,1899 Hoffenheim,TSG,13,5,3,5,19:16,3,18
10,1. FSV Mainz 05,M05,13,5,3,5,18:22,-4,18
11,VfL Wolfsburg,WOB,13,4,5,4,20:19,1,17
12,1. FC Köln,KOE,13,4,5,4,20:25,-5,17
13,FC Augsburg,FCA,13,4,2,7,16:23,-7,14
14,Bayer Leverkusen,B04,13,3,3,7,21:25,-4,12
15,Hertha BSC,BSC,13,2,5,6,16:20,-4,11
16,VfB Stuttgart,VFB,13,2,5,6,16:24,-8,11
17,VfL Bochum,BOC,13,2,1,10,11:35,-24,7
18,FC Schalke 04,S04,13,1,3,9,12:30,-18,6
