#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,13,13,0,0,39:7,32,39
2,Bor. Mönchengladbach,BMG,13,8,2,3,28:14,14,26
3,FC Schalke 04,S04,12,8,2,2,26:13,13,26
4,Borussia Dortmund,BVB,13,8,1,4,32:14,18,25
5,Bayer Leverkusen,B04,12,8,1,3,26:14,12,25
6,VfL Wolfsburg,WOB,12,8,1,3,25:16,9,25
7,Hannover 96,H96,12,6,4,2,21:17,4,22
8,1. FSV Mainz 05,M05,12,6,3,3,17:13,4,21
9,FC Augsburg,FCA,12,6,2,4,20:17,3,20
10,1899 Hoffenheim,TSG,13,4,5,4,35:29,6,17
11,Hertha BSC,BSC,13,5,2,6,16:16,0,17
12,Werder Bremen,SVW,13,4,5,4,14:25,-11,17
13,Eintracht Frankfurt,SGE,13,3,5,5,17:19,-2,14
14,Hamburger SV,HSV,13,4,2,7,19:25,-6,14
15,Eintracht Braunschweig,BNS,13,3,3,7,12:20,-8,12
16,1. FC Nürnberg,FCN,12,2,5,5,11:19,-8,11
17,VfB Stuttgart,VFB,12,2,4,6,19:22,-3,10
18,SC Freiburg,SCF,12,2,4,6,13:23,-10,10
