#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,7,5,0,2,16:7,9,15
2,FC Schalke 04,S04,7,4,2,1,15:5,10,14
3,Borussia Dortmund,BVB,7,4,1,2,13:12,1,13
4,Hertha BSC,BSC,7,4,0,3,18:13,5,12
5,TSV 1860 München,M60,7,3,3,1,11:8,3,12
6,Eintracht Frankfurt,SGE,7,3,2,2,11:8,3,11
7,Hamburger SV,HSV,7,3,2,2,16:14,2,11
8,Bayer Leverkusen,B04,7,3,2,2,8:8,0,11
9,VfL Bochum,BOC,7,3,1,3,7:13,-6,10
10,FC Hansa Rostock,ROS,7,3,1,3,4:10,-6,10
11,SC Freiburg,SCF,7,2,3,2,10:6,4,9
12,VfL Wolfsburg,WOB,7,2,2,3,14:14,0,8
13,Werder Bremen,SVW,7,2,2,3,9:9,0,8
14,VfB Stuttgart,VFB,7,2,2,3,9:12,-3,8
15,1. FC Kaiserslautern,FCK,7,2,2,3,5:8,-3,8
16,1. FC Köln,KOE,7,1,2,4,10:13,-3,5
17,SpVgg Unterhaching,UNT,7,1,2,4,7:13,-6,5
18,Energie Cottbus,FCE,7,1,1,5,7:17,-10,4
