#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,FC Schalke 04,S04,17,10,3,4,35:17,18,33
2,Bayer Leverkusen,B04,17,9,4,4,28:19,9,31
3,Bayern München,FCB,17,9,3,5,34:19,15,30
4,Borussia Dortmund,BVB,17,9,3,5,27:24,3,30
5,Hertha BSC,BSC,17,9,1,7,36:31,5,28
6,1. FC Kaiserslautern,FCK,17,8,3,6,25:23,2,27
7,1. FC Köln,KOE,17,7,4,6,31:27,4,25
8,VfL Wolfsburg,WOB,17,6,6,5,34:24,10,24
9,SC Freiburg,SCF,17,6,5,6,25:21,4,23
10,Hamburger SV,HSV,17,6,3,8,34:32,2,21
11,Werder Bremen,SVW,17,5,6,6,22:26,-4,21
12,TSV 1860 München,M60,17,5,6,6,22:30,-8,21
13,FC Hansa Rostock,ROS,17,6,3,8,18:27,-9,21
14,Eintracht Frankfurt,SGE,17,6,2,9,22:29,-7,20
15,SpVgg Unterhaching,UNT,17,4,6,7,17:27,-10,18
16,VfL Bochum,BOC,17,5,3,9,16:33,-17,18
17,VfB Stuttgart,VFB,17,4,5,8,25:30,-5,17
18,Energie Cottbus,FCE,17,5,2,10,19:31,-12,17
