#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Werder Bremen,SVW,17,12,3,2,45:20,25,39
2,Bayern München,FCB,17,10,5,2,40:19,21,35
3,Bayer Leverkusen,B04,17,10,5,2,34:17,17,35
4,VfB Stuttgart,VFB,17,10,5,2,24:7,17,35
5,VfL Bochum,BOC,17,7,5,5,30:22,8,26
6,Borussia Dortmund,BVB,17,7,4,6,29:25,4,25
7,VfL Wolfsburg,WOB,17,8,1,8,35:32,3,25
8,FC Schalke 04,S04,17,6,6,5,23:23,0,24
9,Hamburger SV,HSV,17,6,5,6,23:29,-6,23
10,SC Freiburg,SCF,17,6,3,8,24:37,-13,21
11,Hannover 96,H96,17,5,5,7,30:37,-7,20
12,FC Hansa Rostock,ROS,17,5,4,8,24:27,-3,19
13,Bor. Mönchengladbach,BMG,17,5,4,8,18:24,-6,19
14,TSV 1860 München,M60,17,5,4,8,18:26,-8,19
15,1. FC Kaiserslautern,FCK,17,5,3,9,20:31,-11,15
16,1. FC Köln,KOE,17,3,4,10,15:26,-11,13
17,Hertha BSC,BSC,17,2,7,8,15:33,-18,13
18,Eintracht Frankfurt,SGE,17,3,3,11,16:28,-12,12
