#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,VfB Stuttgart,VFB,14,10,4,0,22:3,19,34
2,Werder Bremen,SVW,14,10,2,2,38:18,20,32
3,Bayer Leverkusen,B04,14,9,4,1,30:12,18,31
4,Bayern München,FCB,14,8,4,2,32:18,14,28
5,Borussia Dortmund,BVB,14,7,2,5,26:21,5,23
6,VfL Bochum,BOC,14,6,4,4,25:16,9,22
7,VfL Wolfsburg,WOB,14,6,0,8,28:29,-1,18
8,TSV 1860 München,M60,14,5,3,6,15:19,-4,18
9,Hannover 96,H96,14,5,3,6,25:31,-6,18
10,SC Freiburg,SCF,14,5,3,6,19:25,-6,18
11,FC Schalke 04,S04,14,4,5,5,18:21,-3,17
12,Hamburger SV,HSV,14,4,4,6,16:26,-10,16
13,FC Hansa Rostock,ROS,14,4,3,7,19:22,-3,15
14,1. FC Kaiserslautern,FCK,14,5,2,7,18:24,-6,14
15,Bor. Mönchengladbach,BMG,14,3,4,7,13:20,-7,13
16,Eintracht Frankfurt,SGE,14,3,2,9,12:22,-10,11
17,Hertha BSC,BSC,14,2,5,7,13:28,-15,11
18,1. FC Köln,KOE,14,2,2,10,11:25,-14,8
