#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,16,11,4,1,36:12,24,37
2,Bayer Leverkusen,B04,16,11,4,1,36:13,23,37
3,FC Schalke 04,S04,16,11,2,3,29:13,16,35
4,Borussia Dortmund,BVB,16,10,3,3,28:13,15,33
5,1. FSV Mainz 05,M05,16,9,5,2,22:14,8,32
6,Werder Bremen,SVW,16,8,5,3,33:20,13,29
7,VfB Stuttgart,VFB,16,8,4,4,26:19,7,28
8,Bor. Mönchengladbach,BMG,16,8,4,4,24:21,3,28
9,Hamburger SV,HSV,16,7,6,3,21:12,9,27
10,Eintracht Frankfurt,SGE,16,7,5,4,24:24,0,26
11,1899 Hoffenheim,TSG,16,5,5,6,25:19,6,20
12,VfL Wolfsburg,WOB,16,6,2,8,36:38,-2,20
13,1. FC Nürnberg,FCN,16,4,4,8,17:23,-6,16
14,Hannover 96,H96,16,4,4,8,21:32,-11,16
15,SC Freiburg,SCF,16,4,4,8,11:25,-14,16
16,1. FC Köln,KOE,16,3,5,8,16:27,-11,14
17,VfL Bochum,BOC,16,2,6,8,18:32,-14,12
18,Hertha BSC,BSC,16,1,6,9,9:23,-14,9
