#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayer Leverkusen,B04,7,5,2,0,16:2,14,17
2,1. FSV Mainz 05,M05,7,5,2,0,13:6,7,17
3,Bayern München,FCB,8,4,4,0,12:6,6,16
4,FC Schalke 04,S04,8,4,2,2,15:8,7,14
5,Hamburger SV,HSV,8,4,2,2,13:7,6,14
6,Borussia Dortmund,BVB,8,4,2,2,11:7,4,14
7,Werder Bremen,SVW,7,3,3,1,13:6,7,12
8,Eintracht Frankfurt,SGE,8,3,3,2,10:10,0,12
9,1899 Hoffenheim,TSG,7,3,2,2,14:6,8,11
10,VfL Wolfsburg,WOB,8,3,2,3,19:18,1,11
11,Bor. Mönchengladbach,BMG,7,3,2,2,7:6,1,11
12,Hannover 96,H96,8,2,4,2,10:10,0,10
13,1. FC Nürnberg,FCN,7,2,1,4,7:8,-1,7
14,VfB Stuttgart,VFB,8,1,4,3,7:10,-3,7
15,VfL Bochum,BOC,7,1,3,3,9:13,-4,6
16,1. FC Köln,KOE,8,1,2,5,3:11,-8,5
17,Hertha BSC,BSC,7,1,1,5,5:14,-9,4
18,SC Freiburg,SCF,7,1,1,5,5:17,-12,4
