#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,9,8,1,0,29:8,21,25
2,Borussia Dortmund,BVB,9,7,1,1,18:5,13,22
3,1. FC Kaiserslautern,FCK,9,7,1,1,20:12,8,22
4,Hertha BSC,BSC,8,7,0,1,15:3,12,21
5,Bayer Leverkusen,B04,9,5,3,1,18:7,11,18
6,VfL Wolfsburg,WOB,9,5,2,2,22:11,11,17
7,MSV Duisburg,MSV,8,4,4,0,13:6,7,16
8,TSV 1860 München,M60,8,5,1,2,14:8,6,16
9,Hamburger SV,HSV,9,4,3,2,13:10,3,15
10,VfB Stuttgart,VFB,8,4,2,2,15:8,7,14
11,FC Hansa Rostock,ROS,9,3,4,2,17:13,4,13
12,VfL Bochum,BOC,8,3,2,3,11:12,-1,11
13,Eintracht Frankfurt,SGE,8,3,1,4,13:14,-1,10
14,SC Freiburg,SCF,9,2,4,3,9:10,-1,10
15,FC Schalke 04,S04,8,2,3,3,10:11,-1,9
16,Werder Bremen,SVW,9,1,4,4,14:15,-1,7
17,1. FC Nürnberg,FCN,8,0,7,1,10:14,-4,7
18,Bor. Mönchengladbach,BMG,8,2,1,5,11:18,-7,7
