#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,11,9,2,0,29:10,19,29
2,Werder Bremen,SVW,12,9,2,1,30:12,18,29
3,VfL Wolfsburg,WOB,12,9,0,3,31:17,14,27
4,VfL Bochum,BOC,11,7,4,0,18:3,15,25
5,SC Freiburg,SCF,12,8,1,3,23:21,2,25
6,Borussia Dortmund,BVB,12,7,3,2,24:13,11,24
7,VfB Stuttgart,VFB,12,6,5,1,16:6,10,23
8,Hamburger SV,HSV,11,6,3,2,20:14,6,21
9,1. FC Kaiserslautern,FCK,11,6,2,3,14:8,6,20
10,FC Hansa Rostock,ROS,11,6,1,4,21:11,10,19
11,Bayer Leverkusen,B04,11,6,1,4,22:15,7,19
12,FC Schalke 04,S04,12,4,6,2,13:9,4,18
13,Bor. Mönchengladbach,BMG,11,4,4,3,12:12,0,16
14,TSV 1860 München,M60,12,5,1,6,12:18,-6,16
15,Hannover 96,H96,11,3,5,3,22:23,-1,14
16,Eintracht Frankfurt,SGE,12,3,4,5,16:18,-2,13
17,1. FC Köln,KOE,12,4,1,7,12:17,-5,13
18,Hertha BSC,BSC,11,2,4,5,11:19,-8,10
