#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,10,8,2,0,27:10,17,26
2,Werder Bremen,SVW,11,8,2,1,28:12,16,26
3,VfL Bochum,BOC,10,7,3,0,18:3,15,24
4,Borussia Dortmund,BVB,11,7,3,1,24:11,13,24
5,VfL Wolfsburg,WOB,11,8,0,3,29:17,12,24
6,VfB Stuttgart,VFB,11,6,4,1,16:6,10,22
7,SC Freiburg,SCF,11,7,1,3,22:21,1,22
8,Bayer Leverkusen,B04,10,6,1,3,21:12,9,19
9,Hamburger SV,HSV,10,5,3,2,17:13,4,18
10,1. FC Kaiserslautern,FCK,10,5,2,3,13:8,5,17
11,FC Hansa Rostock,ROS,10,5,1,4,18:11,7,16
12,TSV 1860 München,M60,11,5,1,5,12:16,-4,16
13,FC Schalke 04,S04,11,3,6,2,10:9,1,15
14,Hannover 96,H96,10,3,5,2,21:20,1,14
15,Bor. Mönchengladbach,BMG,10,3,4,3,11:12,-1,13
16,1. FC Köln,KOE,11,4,1,6,11:14,-3,13
17,Eintracht Frankfurt,SGE,11,2,4,5,13:17,-4,10
18,Hertha BSC,BSC,10,2,3,5,10:18,-8,9
