#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,21,19,2,0,57:9,48,59
2,Bayer Leverkusen,B04,21,14,1,6,38:22,16,43
3,Borussia Dortmund,BVB,21,13,3,5,51:24,27,42
4,FC Schalke 04,S04,21,12,4,5,41:30,11,40
5,VfL Wolfsburg,WOB,21,11,3,7,35:25,10,36
6,Bor. Mönchengladbach,BMG,21,10,4,7,37:26,11,34
7,1. FSV Mainz 05,M05,21,10,3,8,31:35,-4,33
8,Hertha BSC,BSC,21,9,4,8,32:26,6,31
9,FC Augsburg,FCA,21,9,4,8,30:30,0,31
10,1899 Hoffenheim,TSG,21,6,7,8,44:44,0,25
11,Hannover 96,H96,21,7,3,11,29:37,-8,24
12,Eintracht Frankfurt,SGE,21,5,6,10,24:38,-14,21
13,Werder Bremen,SVW,21,5,6,10,25:46,-21,21
14,1. FC Nürnberg,FCN,21,3,11,7,25:36,-11,20
15,VfB Stuttgart,VFB,21,5,4,12,34:45,-11,19
16,SC Freiburg,SCF,21,4,6,11,20:40,-20,18
17,Hamburger SV,HSV,21,4,4,13,35:51,-16,16
18,Eintracht Braunschweig,BNS,21,4,3,14,15:39,-24,15
