#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,30,25,3,2,82:20,62,78
2,Borussia Dortmund,BVB,30,19,4,7,67:32,35,61
3,FC Schalke 04,S04,30,17,7,6,56:38,18,58
4,Bayer Leverkusen,B04,30,16,3,11,50:37,13,51
5,VfL Wolfsburg,WOB,30,15,5,10,53:45,8,50
6,Bor. Mönchengladbach,BMG,30,14,7,9,52:35,17,49
7,1. FSV Mainz 05,M05,30,14,5,11,44:45,-1,47
8,FC Augsburg,FCA,30,12,6,12,41:45,-4,42
9,1899 Hoffenheim,TSG,30,10,10,10,66:63,3,40
10,Hertha BSC,BSC,30,10,7,13,38:42,-4,37
11,Eintracht Frankfurt,SGE,30,9,8,13,37:50,-13,35
12,Werder Bremen,SVW,30,8,9,13,34:58,-24,33
13,Hannover 96,H96,30,9,5,16,38:55,-17,32
14,SC Freiburg,SCF,30,8,8,14,35:52,-17,32
15,VfB Stuttgart,VFB,30,7,7,16,45:58,-13,28
16,Hamburger SV,HSV,30,7,6,17,46:62,-16,27
17,1. FC Nürnberg,FCN,30,5,11,14,35:58,-23,26
18,Eintracht Braunschweig,BNS,30,6,7,17,28:52,-24,25
