#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,5,3,2,0,12:2,10,11
2,Arminia Bielefeld,DSC,5,3,1,1,11:8,3,10
3,Eintracht Frankfurt,SGE,5,3,1,1,7:5,2,10
4,Borussia Dortmund,BVB,5,3,0,2,9:7,2,9
5,Hertha BSC,BSC,5,3,0,2,7:6,1,9
6,Karlsruher SC,KSC,5,3,0,2,6:6,0,9
7,Bayer Leverkusen,B04,5,2,2,1,6:2,4,8
8,FC Schalke 04,S04,5,1,4,0,9:6,3,7
9,VfB Stuttgart,VFB,5,2,1,2,7:6,1,7
10,Hamburger SV,HSV,5,2,1,2,5:5,0,7
11,VfL Bochum,BOC,5,2,1,2,8:9,-1,7
12,Hannover 96,H96,5,2,1,2,7:9,-2,7
13,Werder Bremen,SVW,5,2,1,2,5:10,-5,7
14,MSV Duisburg,MSV,5,2,0,3,8:7,1,6
15,1. FC Nürnberg,FCN,5,1,2,2,5:7,-2,5
16,VfL Wolfsburg,WOB,5,1,1,3,7:9,-2,4
17,Energie Cottbus,FCE,5,0,2,3,2:9,-7,2
18,FC Hansa Rostock,ROS,5,0,0,5,3:11,-8,0
