#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Werder Bremen,SVW,6,3,1,2,13:8,5,10
2,Bayern München,FCB,6,3,1,2,9:9,0,10
3,Arminia Bielefeld,DSC,6,3,0,3,8:7,1,9
4,FC Schalke 04,S04,6,3,0,3,5:6,-1,9
5,VfL Wolfsburg,WOB,6,3,0,3,6:12,-6,9
6,Hertha BSC,BSC,6,2,2,2,7:5,2,8
7,1. FC Nürnberg,FCN,6,2,2,2,13:13,0,8
8,VfB Stuttgart,VFB,6,2,2,2,8:8,0,8
9,Borussia Dortmund,BVB,6,2,2,2,7:8,-1,8
10,FC Hansa Rostock,ROS,6,2,2,2,6:9,-3,8
11,Hannover 96,H96,6,2,1,3,7:10,-3,7
12,1. FSV Mainz 05,M05,6,1,2,3,10:13,-3,5
13,VfL Bochum,BOC,6,1,2,3,7:13,-6,5
14,1. FC Kaiserslautern,FCK,6,1,1,4,7:12,-5,4
15,Hamburger SV,HSV,6,1,1,4,5:10,-5,4
16,SC Freiburg,SCF,6,1,1,4,5:16,-11,4
17,Bor. Mönchengladbach,BMG,6,0,3,3,5:10,-5,3
18,Bayer Leverkusen,B04,6,0,2,4,3:11,-8,2
