#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Hertha BSC,BSC,10,5,3,2,16:10,6,18
2,Bayern München,FCB,9,4,3,2,14:12,2,15
3,FC Schalke 04,S04,9,5,0,4,9:8,1,15
4,1. FC Nürnberg,FCN,10,4,2,4,20:20,0,14
5,Hannover 96,H96,9,4,2,3,11:11,0,14
6,Werder Bremen,SVW,9,4,1,4,21:12,9,13
7,Hamburger SV,HSV,10,4,1,5,16:15,1,13
8,VfB Stuttgart,VFB,10,3,4,3,13:15,-2,13
9,Borussia Dortmund,BVB,10,3,3,4,10:13,-3,12
10,Arminia Bielefeld,DSC,10,4,0,6,12:17,-5,12
11,Bayer Leverkusen,B04,10,2,4,4,11:14,-3,10
12,FC Hansa Rostock,ROS,9,2,4,3,10:14,-4,10
13,VfL Wolfsburg,WOB,9,3,0,6,8:18,-10,9
14,1. FC Kaiserslautern,FCK,9,2,2,5,12:17,-5,8
15,SC Freiburg,SCF,10,1,3,6,6:22,-16,6
16,1. FSV Mainz 05,M05,10,1,2,7,13:23,-10,5
17,VfL Bochum,BOC,9,1,2,6,9:23,-14,5
18,Bor. Mönchengladbach,BMG,9,0,4,5,6:18,-12,4
