#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,5,3,1,1,9:7,2,10
2,Arminia Bielefeld,DSC,4,3,0,1,5:2,3,9
3,VfL Wolfsburg,WOB,4,3,0,1,6:6,0,9
4,FC Hansa Rostock,ROS,4,2,2,0,5:2,3,8
5,VfB Stuttgart,VFB,5,2,2,1,6:5,1,8
6,Hannover 96,H96,5,2,1,2,7:7,0,7
7,Werder Bremen,SVW,4,2,0,2,10:6,4,6
8,Hertha BSC,BSC,5,1,2,2,4:4,0,5
9,Borussia Dortmund,BVB,4,1,2,1,6:7,-1,5
10,1. FC Nürnberg,FCN,5,1,2,2,11:13,-2,5
11,1. FSV Mainz 05,M05,5,1,2,2,7:9,-2,5
12,VfL Bochum,BOC,5,1,2,2,7:10,-3,5
13,SC Freiburg,SCF,4,1,1,2,4:8,-4,4
14,1. FC Kaiserslautern,FCK,4,1,0,3,5:8,-3,3
15,FC Schalke 04,S04,4,1,0,3,1:5,-4,3
16,Hamburger SV,HSV,5,1,0,4,4:9,-5,3
17,Bor. Mönchengladbach,BMG,4,0,2,2,4:6,-2,2
18,Bayer Leverkusen,B04,5,0,2,3,3:10,-7,2
