#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Eintracht Frankfurt,SGE,9,5,3,1,11:7,4,18
2,Bayern München,FCB,8,5,1,2,13:7,6,16
3,Borussia Dortmund,BVB,9,4,3,2,16:10,6,15
4,Bayer Leverkusen,B04,8,3,2,3,13:11,2,11
5,FC Augsburg,FCA,8,3,2,3,12:11,1,11
6,FC Schalke 04,S04,7,3,2,2,10:9,1,11
7,Bor. Mönchengladbach,BMG,8,3,2,3,14:17,-3,11
8,RB Leipzig,RBL,9,3,2,4,10:15,-5,11
9,1899 Hoffenheim,TSG,7,2,2,3,11:13,-2,8
10,Hannover 96,H96,9,2,2,5,9:17,-8,8
11,Hertha BSC,BSC,7,1,4,2,8:9,-1,7
12,VfL Wolfsburg,WOB,7,1,4,2,7:8,-1,7
13,Werder Bremen,SVW,9,1,4,4,5:9,-4,7
14,Hamburger SV,HSV,7,1,1,5,6:13,-7,4
15,SC Freiburg,SCF,7,1,1,5,6:22,-16,4
16,1. FSV Mainz 05,M05,7,0,3,4,5:13,-8,3
17,1. FC Köln,KOE,9,0,2,7,4:17,-13,2
18,VfB Stuttgart,VFB,9,0,1,8,4:16,-12,1
