#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayer Leverkusen,B04,13,7,2,4,25:15,10,23
2,Bayern München,FCB,14,6,4,4,20:16,4,22
3,1. FC Köln,KOE,13,6,1,6,18:18,0,19
4,Borussia Dortmund,BVB,13,5,4,4,21:22,-1,19
5,VfB Stuttgart,VFB,13,5,3,5,21:24,-3,18
6,Hertha BSC,BSC,12,5,2,5,15:19,-4,17
7,Hamburger SV,HSV,13,5,2,6,19:27,-8,17
8,1899 Hoffenheim,TSG,13,4,4,5,26:23,3,16
9,FC Schalke 04,S04,14,4,4,6,20:19,1,16
10,VfL Wolfsburg,WOB,13,3,5,5,21:21,0,14
11,Eintracht Frankfurt,SGE,13,3,4,6,12:22,-10,13
12,Arminia Bielefeld,DSC,13,2,6,5,9:19,-10,12
13,Energie Cottbus,FCE,14,2,4,8,11:24,-13,10
14,VfL Bochum,BOC,12,1,6,5,9:18,-9,9
15,Bor. Mönchengladbach,BMG,13,2,3,8,13:24,-11,9
16,Werder Bremen,SVW,12,1,4,7,13:19,-6,7
17,Karlsruher SC,KSC,13,1,1,11,8:25,-17,4
18,Hannover 96,H96,13,0,2,11,10:38,-28,2
