#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayer Leverkusen,B04,6,4,1,1,14:8,6,13
2,Bayern München,FCB,6,4,1,1,9:4,5,13
3,Borussia Dortmund,BVB,6,3,1,2,10:11,-1,10
4,Hertha BSC,BSC,6,3,1,2,7:10,-3,10
5,FC Schalke 04,S04,6,2,3,1,10:6,4,9
6,1899 Hoffenheim,TSG,6,3,0,3,17:14,3,9
7,1. FC Köln,KOE,6,3,0,3,8:8,0,9
8,Eintracht Frankfurt,SGE,6,2,2,2,9:9,0,8
9,Hamburger SV,HSV,6,2,1,3,8:14,-6,7
10,Werder Bremen,SVW,6,1,3,2,11:12,-1,6
11,VfB Stuttgart,VFB,6,1,2,3,6:10,-4,5
12,Energie Cottbus,FCE,6,1,2,3,2:8,-6,5
13,Bor. Mönchengladbach,BMG,6,1,1,4,5:12,-7,4
14,VfL Bochum,BOC,6,0,3,3,5:9,-4,3
15,VfL Wolfsburg,WOB,6,0,3,3,9:14,-5,3
16,Karlsruher SC,KSC,6,1,0,5,6:13,-7,3
17,Arminia Bielefeld,DSC,6,0,3,3,4:11,-7,3
18,Hannover 96,H96,6,0,1,5,2:15,-13,1
