#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,13,6,4,3,19:11,8,22
2,Bayer Leverkusen,B04,12,6,2,4,23:15,8,20
3,Hertha BSC,BSC,11,5,2,4,15:17,-2,17
4,1899 Hoffenheim,TSG,12,4,4,4,26:22,4,16
5,1. FC Köln,KOE,12,5,1,6,16:18,-2,16
6,Borussia Dortmund,BVB,12,4,4,4,18:21,-3,16
7,VfB Stuttgart,VFB,12,4,3,5,19:23,-4,15
8,Hamburger SV,HSV,12,4,2,6,17:26,-9,14
9,FC Schalke 04,S04,13,3,4,6,18:19,-1,13
10,Eintracht Frankfurt,SGE,12,3,3,6,11:21,-10,12
11,Arminia Bielefeld,DSC,13,2,6,5,9:19,-10,12
12,VfL Wolfsburg,WOB,12,2,5,5,18:21,-3,11
13,Energie Cottbus,FCE,13,2,4,7,10:22,-12,10
14,Bor. Mönchengladbach,BMG,12,2,2,8,13:24,-11,8
15,Werder Bremen,SVW,11,1,4,6,13:18,-5,7
16,VfL Bochum,BOC,11,0,6,5,8:18,-10,6
17,Karlsruher SC,KSC,12,1,1,10,8:24,-16,4
18,Hannover 96,H96,11,0,1,10,7:32,-25,1
