#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,9,4,3,2,15:14,1,15
2,FC Schalke 04,S04,9,4,1,4,18:11,7,13
3,Bayer Leverkusen,B04,9,3,3,3,13:15,-2,12
4,1. FC Kaiserslautern,FCK,8,3,1,4,13:15,-2,10
5,TSV 1860 München,M60,9,2,4,3,12:17,-5,10
6,Bayern München,FCB,8,2,3,3,10:9,1,9
7,Hertha BSC,BSC,8,3,0,5,11:17,-6,9
8,FC Hansa Rostock,ROS,9,3,0,6,8:16,-8,9
8,SC Freiburg,SCF,9,2,3,4,8:16,-8,9
10,VfL Wolfsburg,WOB,8,2,2,4,11:13,-2,8
11,Werder Bremen,SVW,9,1,3,5,8:17,-9,6
12,Hamburger SV,HSV,9,1,2,6,16:22,-6,5
13,1. FC Köln,KOE,8,1,2,5,7:17,-10,5
13,SpVgg Unterhaching,UNT,8,1,2,5,7:17,-10,5
15,Eintracht Frankfurt,SGE,9,1,1,7,6:21,-15,4
16,VfL Bochum,BOC,8,1,1,6,3:18,-15,4
17,Energie Cottbus,FCE,8,0,2,6,7:19,-12,2
18,VfB Stuttgart,VFB,8,0,1,7,6:17,-11,1
