#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,6,6,0,0,19:8,11,18
2,Bayern München,FCB,6,5,0,1,22:5,17,15
3,RB Leipzig,RBL,6,5,0,1,20:6,14,15
4,1. FC Köln,KOE,6,3,3,0,13:8,5,12
5,1. FSV Mainz 05,M05,6,3,2,1,10:4,6,11
5,SC Freiburg,SCF,5,3,2,0,10:4,6,11
7,Bor. Mönchengladbach,BMG,5,3,2,0,8:4,4,11
8,1. FC Union Berlin,FCU,6,3,2,1,8:7,1,11
9,1899 Hoffenheim,TSG,5,3,1,1,12:5,7,10
10,VfL Bochum,BOC,5,3,1,1,7:3,4,10
11,VfL Wolfsburg,WOB,6,3,1,2,5:6,-1,10
12,VfB Stuttgart,VFB,6,2,1,3,12:10,2,7
13,Hertha BSC,BSC,5,2,1,2,6:6,0,7
14,FC Augsburg,FCA,5,2,1,2,7:10,-3,7
15,Bayer Leverkusen,B04,5,2,0,3,9:11,-2,6
16,Eintracht Frankfurt,SGE,5,0,4,1,4:5,-1,4
17,Arminia Bielefeld,DSC,6,0,3,3,3:10,-7,3
18,SpVgg Greuther Fürth,SGF,5,0,1,4,3:9,-6,1
