#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,8,5,2,1,13:6,7,17
2,Bayer Leverkusen,B04,8,5,1,2,18:11,7,16
3,Borussia Dortmund,BVB,8,4,2,2,11:11,0,14
4,Hertha BSC,BSC,8,4,1,3,10:13,-3,13
5,1899 Hoffenheim,TSG,8,4,0,4,21:17,4,12
6,Hamburger SV,HSV,9,3,2,4,12:18,-6,11
7,FC Schalke 04,S04,8,2,3,3,11:10,1,9
8,1. FC Köln,KOE,8,3,0,5,10:13,-3,9
9,VfB Stuttgart,VFB,8,2,2,4,10:14,-4,8
10,Energie Cottbus,FCE,8,2,2,4,6:13,-7,8
11,Eintracht Frankfurt,SGE,8,2,2,4,9:18,-9,8
12,Werder Bremen,SVW,8,1,3,4,12:15,-3,6
13,VfL Wolfsburg,WOB,8,0,4,4,11:17,-6,4
14,VfL Bochum,BOC,8,0,4,4,6:14,-8,4
15,Bor. Mönchengladbach,BMG,7,1,1,5,6:15,-9,4
16,Arminia Bielefeld,DSC,8,0,4,4,4:14,-10,4
17,Karlsruher SC,KSC,8,1,0,7,8:17,-9,3
18,Hannover 96,H96,8,0,1,7,3:21,-18,1
